,Id,Age,Job,Marital,Education,Default,Balance,HHInsurance,CarLoan,Communication,LastContactDay,LastContactMonth,NoOfContacts,DaysPassed,PrevAttempts,Outcome,CallStart,CallEnd,CarInsurance,CallDuration,CallHourStart,CallMinStart
2401,2402,40,management,married,tertiary,0,3185,0,0,cellular,18,nov,1,-1,0,,2021-12-04 10:03:23,2021-12-04 10:05:12,0,109.0,10,3
793,794,59,technician,married,primary,0,4198,0,0,cellular,14,jan,1,91,10,success,2021-12-04 15:17:52,2021-12-04 15:23:01,1,309.0,15,17
2830,2831,34,blue-collar,married,primary,0,357,1,0,,14,may,2,-1,0,,2021-12-04 15:05:43,2021-12-04 15:09:00,0,197.0,15,5
1546,1547,57,management,divorced,tertiary,0,6468,1,0,cellular,4,sep,1,157,4,failure,2021-12-04 09:48:47,2021-12-04 10:00:57,1,730.0,9,48
813,814,50,technician,married,secondary,0,797,1,0,,6,may,1,-1,0,,2021-12-04 10:35:04,2021-12-04 10:40:58,0,354.0,10,35
3307,3308,51,admin.,married,secondary,0,3025,0,0,cellular,7,may,1,352,1,other,2021-12-04 14:55:30,2021-12-04 15:03:26,1,476.00000000000006,14,55
3793,3794,29,student,single,secondary,0,67,0,0,cellular,23,feb,1,187,5,success,2021-12-04 16:20:17,2021-12-04 16:23:48,1,211.0,16,20
2655,2656,46,,single,primary,0,10,0,0,,18,jun,6,-1,0,,2021-12-04 17:21:19,2021-12-04 17:22:23,0,64.0,17,21
145,146,24,student,single,secondary,0,1123,0,0,cellular,13,jul,1,412,1,other,2021-12-04 11:54:26,2021-12-04 12:02:21,1,475.00000000000006,11,54
3379,3380,31,blue-collar,married,secondary,0,268,1,0,cellular,20,nov,2,-1,0,,2021-12-04 13:51:49,2021-12-04 13:53:22,0,93.0,13,51
3672,3673,35,technician,married,tertiary,0,7050,0,0,cellular,11,aug,3,182,4,success,2021-12-04 10:49:28,2021-12-04 10:53:10,1,222.0,10,49
1914,1915,34,management,married,tertiary,0,3696,0,0,cellular,8,apr,2,160,5,other,2021-12-04 15:43:26,2021-12-04 15:56:04,1,758.0,15,43
819,820,27,technician,single,secondary,0,299,1,0,cellular,5,feb,7,-1,0,,2021-12-04 11:53:43,2021-12-04 11:54:12,0,29.000000000000004,11,53
3956,3957,32,management,married,tertiary,0,2516,0,0,cellular,17,nov,1,-1,0,,2021-12-04 11:08:22,2021-12-04 11:18:17,0,595.0,11,8
2235,2236,33,admin.,single,secondary,0,1834,1,0,cellular,21,nov,2,-1,0,,2021-12-04 17:49:00,2021-12-04 17:49:11,0,11.0,17,49
722,723,22,blue-collar,married,secondary,0,-295,1,0,,26,jun,2,-1,0,,2021-12-04 14:34:44,2021-12-04 14:37:14,0,150.0,14,34
1151,1152,55,technician,divorced,secondary,0,35,1,0,cellular,20,aug,4,-1,0,,2021-12-04 11:53:51,2021-12-04 11:55:57,0,126.00000000000001,11,53
3650,3651,46,admin.,married,secondary,0,5169,0,0,cellular,22,jul,14,-1,0,,2021-12-04 11:40:47,2021-12-04 11:41:59,0,72.0,11,40
3568,3569,40,blue-collar,married,secondary,0,188,1,1,,20,jun,2,-1,0,,2021-12-04 14:40:14,2021-12-04 14:49:44,1,570.0,14,40
2452,2453,47,entrepreneur,married,tertiary,0,0,0,0,telephone,18,nov,2,-1,0,,2021-12-04 12:42:47,2021-12-04 12:44:30,0,103.0,12,42
2787,2788,50,blue-collar,married,secondary,0,-253,0,0,,25,jun,1,-1,0,,2021-12-04 17:14:36,2021-12-04 17:15:19,0,43.0,17,14
2988,2989,50,entrepreneur,married,tertiary,0,8649,1,0,cellular,20,nov,1,-1,0,,2021-12-04 16:51:20,2021-12-04 16:53:41,0,141.0,16,51
3119,3120,35,blue-collar,single,primary,0,-4,1,0,cellular,18,may,1,-1,0,,2021-12-04 12:00:44,2021-12-04 12:03:42,0,178.0,12,0
1525,1526,47,blue-collar,single,primary,0,10558,1,0,cellular,13,may,3,174,2,other,2021-12-04 09:03:55,2021-12-04 09:05:16,0,81.0,9,3
513,514,53,admin.,single,secondary,0,654,0,0,,10,jul,1,-1,0,,2021-12-04 16:06:09,2021-12-04 16:07:16,1,67.0,16,6
580,581,30,management,single,tertiary,0,3384,0,0,cellular,4,jun,2,-1,0,,2021-12-04 16:31:42,2021-12-04 16:41:20,1,578.0,16,31
139,140,52,technician,married,tertiary,0,0,0,0,cellular,9,aug,3,94,4,success,2021-12-04 16:32:21,2021-12-04 16:34:46,0,145.0,16,32
733,734,39,entrepreneur,married,tertiary,0,628,1,0,cellular,9,jul,1,-1,0,,2021-12-04 12:05:11,2021-12-04 12:06:48,0,97.0,12,5
476,477,40,blue-collar,married,primary,0,830,1,0,cellular,13,may,3,370,2,failure,2021-12-04 15:43:33,2021-12-04 15:58:06,1,873.0,15,43
1631,1632,58,admin.,married,secondary,0,145,1,0,telephone,29,jul,13,-1,0,,2021-12-04 16:42:19,2021-12-04 16:52:35,1,616.0,16,42
3019,3020,39,management,divorced,tertiary,0,224,0,0,cellular,2,jul,2,88,1,success,2021-12-04 13:36:10,2021-12-04 13:39:24,1,194.0,13,36
2039,2040,46,management,divorced,tertiary,0,507,1,0,cellular,1,apr,1,-1,0,,2021-12-04 16:30:34,2021-12-04 16:50:30,1,1196.0,16,30
2003,2004,54,technician,married,secondary,0,7252,0,0,,23,may,2,-1,0,,2021-12-04 15:16:59,2021-12-04 15:19:18,0,139.0,15,16
693,694,29,management,single,tertiary,0,874,1,0,cellular,16,sep,1,103,1,success,2021-12-04 10:26:14,2021-12-04 10:28:46,1,152.0,10,26
3982,3983,53,technician,married,secondary,0,4930,0,1,cellular,2,feb,2,-1,0,,2021-12-04 12:51:15,2021-12-04 12:55:03,0,228.0,12,51
2203,2204,44,blue-collar,single,secondary,0,0,0,0,cellular,20,apr,1,-1,0,,2021-12-04 11:46:07,2021-12-04 11:48:20,1,133.0,11,46
1032,1033,58,admin.,divorced,secondary,0,1947,0,0,telephone,26,oct,1,-1,0,,2021-12-04 14:58:04,2021-12-04 15:01:52,1,228.0,14,58
3526,3527,29,technician,single,secondary,0,113,0,0,cellular,12,feb,2,183,4,success,2021-12-04 17:34:17,2021-12-04 17:39:45,1,328.0,17,34
1391,1392,41,admin.,single,secondary,0,812,0,1,,11,jun,4,-1,0,,2021-12-04 12:58:23,2021-12-04 13:08:06,1,583.0,12,58
1083,1084,43,entrepreneur,married,secondary,0,104,1,0,cellular,18,jul,3,-1,0,,2021-12-04 16:54:37,2021-12-04 17:05:12,1,635.0,16,54
2362,2363,51,unemployed,married,secondary,0,760,1,0,,14,may,1,-1,0,,2021-12-04 17:14:44,2021-12-04 17:21:35,0,411.0,17,14
3788,3789,64,retired,married,,0,679,0,0,telephone,16,nov,1,-1,0,,2021-12-04 11:14:24,2021-12-04 11:17:11,1,167.0,11,14
1516,1517,32,services,married,secondary,0,-173,1,0,cellular,28,jul,2,-1,0,,2021-12-04 10:25:49,2021-12-04 10:30:49,0,300.0,10,25
275,276,50,technician,married,secondary,0,-584,0,0,cellular,20,aug,2,-1,0,,2021-12-04 14:14:52,2021-12-04 14:16:07,0,75.0,14,14
2797,2798,49,admin.,single,secondary,0,1150,1,0,cellular,18,may,2,355,1,failure,2021-12-04 11:01:33,2021-12-04 11:03:39,0,126.00000000000001,11,1
2015,2016,29,services,single,secondary,0,487,1,1,,9,may,2,-1,0,,2021-12-04 13:48:31,2021-12-04 13:51:27,0,176.0,13,48
2221,2222,45,management,single,tertiary,0,1411,0,0,cellular,7,sep,2,102,3,failure,2021-12-04 17:50:40,2021-12-04 18:04:00,1,800.0,17,50
3869,3870,27,blue-collar,married,secondary,0,4333,0,0,cellular,20,apr,1,-1,0,,2021-12-04 11:48:54,2021-12-04 11:51:37,1,163.0,11,48
515,516,45,technician,single,secondary,0,410,1,0,,30,may,4,-1,0,,2021-12-04 11:32:26,2021-12-04 11:47:17,1,891.0,11,32
3705,3706,46,unemployed,married,secondary,0,926,0,0,cellular,7,jul,5,-1,0,,2021-12-04 13:15:00,2021-12-04 13:21:25,1,385.0,13,15
3112,3113,47,blue-collar,divorced,primary,0,126,1,0,,3,jun,2,-1,0,,2021-12-04 13:45:00,2021-12-04 14:25:56,1,2456.0,13,45
704,705,50,management,married,tertiary,0,290,0,1,cellular,8,aug,2,-1,0,,2021-12-04 16:32:31,2021-12-04 16:33:21,0,50.0,16,32
2888,2889,58,blue-collar,single,secondary,0,119,1,1,cellular,12,may,1,-1,0,,2021-12-04 13:51:47,2021-12-04 14:08:12,1,985.0000000000001,13,51
3166,3167,49,blue-collar,married,secondary,0,1946,0,0,cellular,19,oct,1,95,1,success,2021-12-04 17:16:08,2021-12-04 17:19:20,1,192.0,17,16
54,55,31,blue-collar,married,secondary,0,326,0,1,cellular,29,jan,1,-1,0,,2021-12-04 09:59:19,2021-12-04 10:01:23,0,124.00000000000001,9,59
1807,1808,47,technician,married,tertiary,0,1694,0,1,,20,jun,3,-1,0,,2021-12-04 17:10:39,2021-12-04 17:19:59,1,560.0,17,10
1135,1136,29,admin.,single,secondary,0,464,0,0,cellular,9,nov,2,91,3,success,2021-12-04 14:56:40,2021-12-04 15:00:08,1,208.0,14,56
3399,3400,48,blue-collar,married,secondary,0,705,0,0,,13,may,2,-1,0,,2021-12-04 17:52:33,2021-12-04 17:54:21,0,108.0,17,52
1649,1650,50,technician,married,tertiary,0,247,0,0,,23,may,1,-1,0,,2021-12-04 10:45:29,2021-12-04 10:48:22,0,173.0,10,45
1203,1204,32,blue-collar,single,secondary,0,226,1,0,,5,jun,5,-1,0,,2021-12-04 16:55:18,2021-12-04 17:02:24,0,426.0,16,55
2030,2031,21,student,single,secondary,0,123,0,0,telephone,12,feb,5,93,2,success,2021-12-04 15:09:45,2021-12-04 15:16:04,1,379.0,15,9
272,273,54,housemaid,married,tertiary,0,440,0,0,cellular,19,nov,1,-1,0,,2021-12-04 17:23:00,2021-12-04 17:24:29,0,89.0,17,23
2305,2306,73,retired,single,secondary,0,1050,0,0,cellular,4,mar,3,181,2,failure,2021-12-04 14:40:35,2021-12-04 14:49:57,1,562.0,14,40
1223,1224,32,management,married,tertiary,0,6138,0,0,cellular,29,jul,2,90,9,failure,2021-12-04 10:40:51,2021-12-04 10:49:30,1,519.0,10,40
448,449,27,student,single,secondary,0,0,0,0,,8,may,2,-1,0,,2021-12-04 14:26:30,2021-12-04 14:28:03,0,93.0,14,26
3510,3511,62,self-employed,divorced,tertiary,0,6,1,0,cellular,13,apr,1,182,3,success,2021-12-04 09:15:26,2021-12-04 09:17:09,1,103.0,9,15
1312,1313,33,technician,married,secondary,0,620,0,0,cellular,14,aug,2,-1,0,,2021-12-04 11:54:38,2021-12-04 11:56:24,0,106.0,11,54
570,571,57,blue-collar,married,secondary,0,621,1,0,cellular,17,apr,3,-1,0,,2021-12-04 13:08:42,2021-12-04 13:21:40,0,778.0,13,8
2447,2448,33,services,divorced,secondary,0,44,0,1,cellular,23,jul,1,-1,0,,2021-12-04 17:14:20,2021-12-04 17:23:09,1,529.0,17,14
2789,2790,50,management,married,secondary,0,1165,0,0,cellular,16,jul,1,-1,0,,2021-12-04 17:17:35,2021-12-04 17:25:10,1,455.0,17,17
2081,2082,64,retired,married,secondary,0,4083,0,0,cellular,18,aug,1,-1,0,,2021-12-04 17:22:56,2021-12-04 17:24:53,0,117.00000000000001,17,22
165,166,26,blue-collar,single,secondary,0,82,1,0,,9,may,1,-1,0,,2021-12-04 10:04:16,2021-12-04 10:15:10,1,654.0,10,4
420,421,51,management,married,tertiary,0,19313,0,0,telephone,21,nov,1,-1,0,,2021-12-04 12:01:46,2021-12-04 12:02:22,0,36.0,12,1
2857,2858,48,management,married,secondary,0,-876,0,1,cellular,31,jul,16,-1,0,,2021-12-04 12:33:37,2021-12-04 12:33:43,0,6.0,12,33
3227,3228,54,retired,divorced,tertiary,0,3076,0,0,cellular,27,may,2,-1,0,,2021-12-04 15:50:49,2021-12-04 15:56:56,1,367.0,15,50
3317,3318,40,technician,married,secondary,0,232,0,0,cellular,29,jan,1,-1,0,,2021-12-04 16:38:24,2021-12-04 16:44:30,0,366.0,16,38
1849,1850,58,retired,married,primary,0,2074,0,0,cellular,18,jun,2,-1,0,,2021-12-04 11:31:23,2021-12-04 11:35:42,1,259.0,11,31
357,358,36,blue-collar,single,primary,0,49,1,0,,8,may,1,-1,0,,2021-12-04 12:16:51,2021-12-04 12:23:36,0,405.0,12,16
1129,1130,43,unemployed,divorced,secondary,0,4478,1,0,,13,may,1,-1,0,,2021-12-04 17:48:32,2021-12-04 17:50:45,0,133.0,17,48
1943,1944,37,management,single,tertiary,0,411,1,1,cellular,17,nov,1,-1,0,,2021-12-04 10:28:54,2021-12-04 10:31:16,0,142.0,10,28
554,555,35,blue-collar,single,,0,422,0,0,,16,jun,1,-1,0,,2021-12-04 13:06:03,2021-12-04 13:08:23,0,140.0,13,6
2152,2153,34,technician,single,secondary,0,347,1,0,cellular,6,feb,2,197,6,failure,2021-12-04 13:01:08,2021-12-04 13:03:42,0,154.0,13,1
3213,3214,29,management,single,tertiary,0,1388,1,0,cellular,15,may,3,-1,0,,2021-12-04 16:13:04,2021-12-04 16:15:41,0,157.0,16,13
835,836,56,blue-collar,divorced,primary,0,-216,1,0,,26,may,1,-1,0,,2021-12-04 12:31:37,2021-12-04 12:37:13,0,336.0,12,31
440,441,43,management,married,tertiary,0,62,1,0,cellular,23,jul,3,-1,0,,2021-12-04 10:06:30,2021-12-04 10:10:02,0,212.0,10,6
340,341,46,services,divorced,secondary,0,0,0,0,,20,jun,3,-1,0,,2021-12-04 13:36:57,2021-12-04 13:54:00,1,1023.0000000000001,13,36
303,304,35,management,married,tertiary,0,8,0,0,cellular,23,apr,3,-1,0,,2021-12-04 14:02:03,2021-12-04 14:03:36,1,93.0,14,2
3720,3721,60,management,married,tertiary,0,2222,1,0,cellular,11,jul,2,-1,0,,2021-12-04 13:42:58,2021-12-04 14:01:38,1,1120.0,13,42
1820,1821,42,management,married,primary,0,5310,1,0,cellular,20,aug,1,90,3,success,2021-12-04 17:26:21,2021-12-04 17:30:54,1,273.0,17,26
1298,1299,44,blue-collar,married,primary,0,503,1,0,,7,may,2,-1,0,,2021-12-04 14:20:52,2021-12-04 14:31:21,0,629.0,14,20
84,85,49,unemployed,married,primary,0,518,0,0,cellular,29,jan,2,-1,0,,2021-12-04 09:49:16,2021-12-04 10:21:13,1,1917.0000000000002,9,49
1047,1048,41,blue-collar,married,,0,665,1,0,,19,may,3,-1,0,,2021-12-04 09:28:16,2021-12-04 09:30:38,0,142.0,9,28
1549,1550,60,technician,single,primary,0,11262,0,0,cellular,26,aug,1,-1,0,,2021-12-04 09:35:01,2021-12-04 09:40:24,1,323.0,9,35
647,648,38,technician,married,secondary,0,6,1,0,,26,may,4,-1,0,,2021-12-04 14:39:05,2021-12-04 14:40:58,0,113.0,14,39
1446,1447,44,admin.,single,secondary,0,733,1,0,cellular,4,dec,2,105,5,success,2021-12-04 12:14:14,2021-12-04 12:20:14,1,360.0,12,14
3590,3591,37,management,divorced,tertiary,0,488,1,0,cellular,17,sep,1,854,2,failure,2021-12-04 10:43:12,2021-12-04 10:48:40,1,328.0,10,43
841,842,44,services,married,primary,0,3,1,0,cellular,7,may,1,-1,0,,2021-12-04 14:58:15,2021-12-04 15:02:03,0,228.0,14,58
3648,3649,37,blue-collar,married,secondary,0,790,0,0,,9,may,1,-1,0,,2021-12-04 09:45:01,2021-12-04 09:49:23,0,262.0,9,45
3383,3384,31,blue-collar,married,primary,0,50,1,0,,8,may,2,-1,0,,2021-12-04 11:07:24,2021-12-04 11:12:24,0,300.0,11,7
393,394,48,unemployed,married,primary,0,1849,1,0,,2,jun,3,-1,0,,2021-12-04 17:30:25,2021-12-04 17:36:10,0,345.0,17,30
1563,1564,43,management,divorced,tertiary,0,2367,0,0,cellular,22,sep,1,113,3,success,2021-12-04 13:37:05,2021-12-04 13:38:28,1,83.0,13,37
2525,2526,34,management,single,tertiary,0,681,0,0,cellular,6,aug,2,-1,0,,2021-12-04 10:00:14,2021-12-04 10:10:51,1,637.0,10,0
173,174,38,technician,married,secondary,0,557,1,0,cellular,16,nov,4,-1,0,,2021-12-04 11:41:55,2021-12-04 12:07:51,1,1556.0,11,41
2707,2708,34,services,married,secondary,0,-694,1,0,,26,may,1,-1,0,,2021-12-04 17:15:58,2021-12-04 17:17:00,0,62.00000000000001,17,15
2228,2229,46,management,married,tertiary,0,4301,1,1,cellular,18,nov,1,183,2,failure,2021-12-04 17:44:33,2021-12-04 17:45:23,0,50.0,17,44
1670,1671,47,technician,married,primary,0,235,0,0,cellular,2,mar,2,203,1,other,2021-12-04 17:53:52,2021-12-04 17:56:08,1,136.0,17,53
1301,1302,37,technician,single,secondary,0,5436,1,0,cellular,6,may,11,351,1,failure,2021-12-04 16:00:36,2021-12-04 16:00:43,0,7.0,16,0
2272,2273,39,admin.,divorced,secondary,0,878,1,0,cellular,15,may,5,-1,0,,2021-12-04 09:39:07,2021-12-04 09:49:18,1,611.0,9,39
3244,3245,51,admin.,married,tertiary,0,1463,1,0,telephone,23,jul,1,-1,0,,2021-12-04 10:42:15,2021-12-04 10:45:20,0,185.0,10,42
3473,3474,49,management,divorced,tertiary,0,651,0,1,cellular,6,aug,3,-1,0,,2021-12-04 09:46:51,2021-12-04 09:48:10,0,79.0,9,46
629,630,34,blue-collar,married,secondary,0,320,1,0,cellular,12,nov,1,92,3,success,2021-12-04 10:16:08,2021-12-04 10:23:01,1,413.0,10,16
65,66,57,management,married,tertiary,0,473,0,0,cellular,1,jun,1,-1,0,,2021-12-04 14:55:01,2021-12-04 14:59:56,1,295.0,14,55
3406,3407,25,management,married,secondary,0,2228,1,0,cellular,23,jul,1,-1,0,,2021-12-04 14:50:58,2021-12-04 15:03:32,1,754.0,14,50
324,325,47,blue-collar,married,secondary,0,1568,1,0,cellular,19,feb,1,262,7,success,2021-12-04 09:54:03,2021-12-04 10:00:31,1,388.0,9,54
659,660,40,technician,married,tertiary,0,1293,0,0,cellular,16,sep,3,105,2,success,2021-12-04 17:06:05,2021-12-04 17:34:27,1,1702.0,17,6
1394,1395,33,management,divorced,tertiary,0,2695,1,0,cellular,12,aug,3,-1,0,,2021-12-04 14:24:03,2021-12-04 14:35:54,0,711.0,14,24
2175,2176,43,housemaid,married,primary,0,25,0,0,cellular,12,aug,2,-1,0,,2021-12-04 16:15:47,2021-12-04 16:17:48,0,121.00000000000001,16,15
978,979,40,self-employed,married,tertiary,0,271,1,0,cellular,11,aug,4,-1,0,,2021-12-04 09:52:52,2021-12-04 09:57:17,0,265.0,9,52
2534,2535,35,blue-collar,married,secondary,0,0,1,1,cellular,20,apr,3,-1,0,,2021-12-04 15:20:11,2021-12-04 15:22:14,0,123.00000000000001,15,20
3819,3820,28,management,married,secondary,0,3,1,0,cellular,14,sep,2,24,2,other,2021-12-04 16:00:34,2021-12-04 16:02:26,0,112.0,16,0
3074,3075,46,services,married,secondary,0,244,0,0,cellular,21,aug,2,-1,0,,2021-12-04 09:29:13,2021-12-04 09:31:32,0,139.0,9,29
2715,2716,32,blue-collar,single,secondary,0,2093,0,0,cellular,24,sep,2,444,1,failure,2021-12-04 16:17:33,2021-12-04 16:21:17,1,224.0,16,17
2816,2817,51,unemployed,married,primary,0,1162,1,0,cellular,25,jul,1,-1,0,,2021-12-04 17:40:47,2021-12-04 18:14:22,1,2015.0000000000002,17,40
2897,2898,51,retired,married,secondary,0,-14,0,1,cellular,21,jul,5,-1,0,,2021-12-04 13:39:32,2021-12-04 13:48:56,0,564.0,13,39
316,317,59,services,divorced,secondary,0,1,1,0,cellular,28,jan,1,253,5,other,2021-12-04 14:48:06,2021-12-04 14:58:08,1,602.0,14,48
3937,3938,48,self-employed,married,tertiary,0,0,0,0,cellular,29,jan,3,-1,0,,2021-12-04 15:52:08,2021-12-04 16:12:57,1,1249.0,15,52
2360,2361,35,admin.,single,secondary,0,111,1,0,cellular,29,jan,1,195,3,failure,2021-12-04 16:46:54,2021-12-04 16:47:49,0,55.0,16,46
2516,2517,35,admin.,married,secondary,0,-203,1,0,cellular,11,jul,2,-1,0,,2021-12-04 12:47:53,2021-12-04 13:15:22,1,1649.0,12,47
